Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	binding site:Substrate	7	10.606060606060606	6.115997718621594E-4	LDHA, TPI1, PKM, PGK1, MIF, ENO1, ALDOA	63	304	18012	6.583333333333334	0.13232196024223497	0.14250274684388314	0.14250274684388314
UP_KEYWORDS	Neurogenesis	6	9.090909090909092	6.181544295333276E-4	EFNB1, NRP1, NEUROD2, ZIC1, SOX11, ELAVL3	64	247	22680	8.6082995951417	0.07094108295520185	0.012260062852410996	0.011538882684622116
UP_KEYWORDS	Ubl conjugation	13	19.696969696969695	7.875550066625966E-4	TPI1, ENO1, GPI1, NEUROD2, LDHA, PKM, CCND2, NASP, BASP1, DDIT4, HMGN2, ALDOA, GAPDH	64	1505	22680	3.061046511627907	0.08949507401585977	0.013388435113264142	0.012600880106601545
UP_KEYWORDS	Methylation	10	15.151515151515152	0.00127474176553751	NFIX, TPI1, PKM, RBFOX3, RPS19, NFIA, DPYSL3, CRMP1, RND2, GAPDH	64	960	22680	3.69140625	0.1408322044695175	0.018901681522459603	0.017789817903491392
GOTERM_CC_DIRECT	GO:0030426~growth cone	5	7.575757575757576	0.0014121280095083105	NRP1, BASP1, DPYSL3, CRMP1, STMN3	61	159	19662	10.136096504794308	0.15358785436631772	0.027771850853663443	0.025182949502898202
UP_KEYWORDS	Developmental protein	10	15.151515151515152	0.0014295389386734154	OLFM1, EFNB1, NRP1, NEUROD2, WNT5A, ZIC1, NNAT, SOX11, MEIS2, ELAVL3	64	976	22680	3.630891393442623	0.15653497569033004	0.018901681522459603	0.017789817903491392
GOTERM_BP_DIRECT	GO:0007413~axonal fasciculation	3	4.545454545454546	0.0015484849672645984	NRP1, WNT5A, CNTN2	60	18	18082	50.22777777777778	0.6209559593329534	0.16155859825127308	0.16104243659551823
UP_KEYWORDS	Differentiation	8	12.121212121212121	0.0020452267357936715	EFNB1, NRP1, NEUROD2, SRRM4, WNT5A, ZIC1, SOX11, ELAVL3	64	646	22680	4.3885448916408665	0.2162233677737998	0.02433819815594469	0.02290653944088912
GOTERM_CC_DIRECT	GO:0002080~acrosomal membrane	3	4.545454545454546	0.0026258600081426166	BSG, SLC2A3, RND2	61	25	19662	38.67934426229508	0.2667429876799744	0.04373654404061225	0.039659408579199244
GOTERM_CC_DIRECT	GO:0005634~nucleus	30	45.45454545454545	0.0029651894264821864	NFIX, RPL12, ENO1, HSP90B1, EFNB1, NEUROD2, LDHA, CCND2, TUBB3, BASP1, ZIC1, HMGN2, SRRM4, TPI1, RBFOX3, PGAM1, NR2F1, HN1, RPSA, ZIC4, SOX11, MIF, MEIS2, PKM, NFIA, NASP, CALR, TAGLN3, ALDOA, GAPDH	61	6019	19662	1.6065519298178719	0.29560227257456984	0.04373654404061225	0.039659408579199244
UP_KEYWORDS	Isomerase	4	6.0606060606060606	0.004767790545847939	GPI1, TPI1, PGAM1, MIF	64	122	22680	11.618852459016393	0.433752452416334	0.05157882499599134	0.048544776466815376
GOTERM_BP_DIRECT	GO:0033574~response to testosterone	3	4.545454545454546	0.004874939143920014	GPI1, NASP, CALR	60	32	18082	28.253125	0.9530735887517924	0.4359588434419898	0.4345660036865841
GOTERM_CC_DIRECT	GO:0005615~extracellular space	12	18.181818181818183	0.0053164787533800835	GPI1, OLFM1, NRP1, VCAN, TPI1, DPYSL3, WNT5A, SOGA3, MIF, CALR, ENO1, ALDOA	61	1504	19662	2.571764911056854	0.46688496842964533	0.061082303001233226	0.05538819000959284
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	7	10.606060606060606	0.005648777194285817	OLFM1, NRP1, RBFOX3, TUBB3, CRMP1, CNTN2, RPSA	61	534	19662	4.225271689077179	0.4874953224477677	0.061082303001233226	0.05538819000959284
GOTERM_CC_DIRECT	GO:0031941~filamentous actin	3	4.545454545454546	0.0056941129916403856	DPYSL3, CRMP1, TMSB10	61	37	19662	26.134692069118298	0.49024526378583555	0.061082303001233226	0.05538819000959284
GOTERM_MF_DIRECT	GO:0016853~isomerase activity	4	6.0606060606060606	0.006303575324550604	GPI1, TPI1, PGAM1, MIF	58	115	17446	10.462368815592203	0.6608534869513547	0.9031042306193179	0.9031042306193179
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	6	9.090909090909092	0.006760609430500396	NRP1, RPS19, RPL12, BSG, CALR, HSP90B1	61	391	19662	4.946207706175842	0.5508780269746957	0.06647932606658723	0.06028210075529519
GOTERM_BP_DIRECT	GO:0001764~neuron migration	4	6.0606060606060606	0.007738351404937625	NRP1, DDIT4, NR2F1, CNTN2	60	124	18082	9.721505376344085	0.9922731061660136	0.6055259974363691	0.6035914095851348
INTERPRO	IPR019739:CTF transcription factor/nuclear factor 1, conserved site	2	3.0303030303030303	0.011026106155822203	NFIX, NFIA	58	4	20594	177.5344827586207	0.8992466929769727	0.570600993563799	0.570600993563799
INTERPRO	IPR020604:CTF transcription factor/nuclear factor 1, DNA-binding domain	2	3.0303030303030303	0.011026106155822203	NFIX, NFIA	58	4	20594	177.5344827586207	0.8992466929769727	0.570600993563799	0.570600993563799
INTERPRO	IPR000647:CTF transcription factor/nuclear factor 1	2	3.0303030303030303	0.011026106155822203	NFIX, NFIA	58	4	20594	177.5344827586207	0.8992466929769727	0.570600993563799	0.570600993563799
INTERPRO	IPR019548:CTF transcription factor/nuclear factor 1, N-terminal	2	3.0303030303030303	0.011026106155822203	NFIX, NFIA	58	4	20594	177.5344827586207	0.8992466929769727	0.570600993563799	0.570600993563799
GOTERM_MF_DIRECT	GO:0098641~cadherin binding involved in cell-cell adhesion	5	7.575757575757576	0.01302425973046326	LDHA, PKM, BSG, ENO1, ALDOA	58	279	17446	5.39055740946731	0.8937307241726914	0.9031042306193179	0.9031042306193179
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	8	12.121212121212121	0.013146377864360074	EFNB1, NRP1, NEUROD2, SRRM4, WNT5A, ZIC1, SOX11, ELAVL3	60	780	18082	3.090940170940171	0.9997475270133341	0.9144036158988229	0.9114821985956317
UP_SEQ_FEATURE	DNA-binding region:CTF/NF-I	2	3.0303030303030303	0.013698806306492943	NFIX, NFIA	63	4	18012	142.95238095238093	0.9592415530511711	1.0	1.0
GOTERM_CC_DIRECT	GO:0031982~vesicle	4	6.0606060606060606	0.013776315120792833	PKM, BASP1, MIF, GAPDH	61	164	19662	7.861655337864854	0.8054189557578865	0.12504655263488879	0.11338967060960253
KEGG_PATHWAY	mmu05166:HTLV-I infection	5	7.575757575757576	0.014850098046675959	APC2, NRP1, CCND2, WNT5A, CALR	28	276	7691	4.976061076604555	0.6384589167412837	0.17416181106397027	0.16647820175232453
KEGG_PATHWAY	mmu04390:Hippo signaling pathway	4	6.0606060606060606	0.015367218623291495	APC2, CCND2, PPP2R2B, WNT5A	28	151	7691	7.276253547776726	0.6511395282846257	0.17416181106397027	0.16647820175232453
GOTERM_BP_DIRECT	GO:0048666~neuron development	3	4.545454545454546	0.015389715341073645	NRP1, NEUROD2, DPYSL3	60	58	18082	15.58793103448276	0.9999392572750366	0.9633961803512102	0.9603182372829955
GOTERM_CC_DIRECT	GO:0005913~cell-cell adherens junction	5	7.575757575757576	0.015772725880216394	LDHA, PKM, BSG, ENO1, ALDOA	61	316	19662	5.100124507159161	0.846800731717313	0.13294154670468103	0.1205486906559396
GOTERM_MF_DIRECT	GO:0005515~protein binding	22	33.33333333333333	0.01584393387051435	NRP1, RBFOX3, RPL12, WNT5A, STMN3, RND2, HSP90B1, PRDX2, EFNB1, OLFM1, NEUROD2, PKM, CCND2, NASP, TUBB3, BASP1, KCNQ1OT1, DPYSL3, ZIC1, CNTN2, CKB, CALR	58	4092	17446	1.6171672228401928	0.9348462366335507	0.9031042306193179	0.9031042306193179
INTERPRO	IPR011778:Hydantoinase/dihydropyrimidinase	2	3.0303030303030303	0.016494279982004343	DPYSL3, CRMP1	58	6	20594	118.35632183908045	0.9680245805635546	0.6828631912549797	0.6828631912549797
GOTERM_BP_DIRECT	GO:0010977~negative regulation of neuron projection development	3	4.545454545454546	0.018536957744401485	DPYSL3, NR2F1, CRMP1	60	64	18082	14.1265625	0.9999918135984113	1.0	0.9984
UP_SEQ_FEATURE	short sequence motif:Prevents secretion from ER	3	4.545454545454546	0.018728251824674674	OLFM1, CALR, HSP90B1	63	61	18012	14.060889929742387	0.9875515151398079	1.0	1.0
GOTERM_BP_DIRECT	GO:0006006~glucose metabolic process	3	4.545454545454546	0.020773006167915397	TPI1, PKM, GAPDH	60	68	18082	13.295588235294119	0.9999980366670297	1.0	0.9984
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	4	6.0606060606060606	0.023821567379532404	LDHA, BSG, ENO1, ALDOA	60	189	18082	6.378130511463844	0.9999997212053913	1.0	0.9984
KEGG_PATHWAY	mmu01100:Metabolic pathways	10	15.151515151515152	0.024610460274778607	GPI1, LDHA, TPI1, PKM, PGAM1, PGK1, CKB, ENO1, ALDOA, GAPDH	28	1269	7691	2.1645277496341326	0.8162994825362058	0.23907304266927787	0.22852570255151566
GOTERM_CC_DIRECT	GO:0030424~axon	5	7.575757575757576	0.026353262201843836	OLFM1, NRP1, TUBB3, STMN3, CNTN2	61	370	19662	4.355782011519716	0.957207590173635	0.2073123293211715	0.18798660370648604
INTERPRO	IPR011059:Metal-dependent hydrolase, composite domain	2	3.0303030303030303	0.027341665911364523	DPYSL3, CRMP1	58	10	20594	71.01379310344828	0.9967805279912649	0.8466609005401168	0.8466609005401168
UP_KEYWORDS	DNA replication	3	4.545454545454546	0.02873725413617034	NFIX, NFIA, NASP	64	95	22680	11.19078947368421	0.9688777491309947	0.2562005674600352	0.24112994584473904
UP_KEYWORDS	Activator	6	9.090909090909092	0.0294916265021756	NEUROD2, NFIX, NFIA, ZIC1, NR2F1, MEIS2	64	624	22680	3.407451923076923	0.9716263550079124	0.2562005674600352	0.24112994584473904
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	4	6.0606060606060606	0.029716332762076338	GPI1, LDHA, PGK1, GAPDH	60	206	18082	5.851779935275081	0.9999999937107432	1.0	0.9984
INTERPRO	IPR006680:Amidohydrolase 1	2	3.0303030303030303	0.030035094061605466	DPYSL3, CRMP1	58	11	20594	64.55799373040753	0.9981865881895914	0.8466609005401168	0.8466609005401168
UP_KEYWORDS	Gluconeogenesis	2	3.0303030303030303	0.03014124323059238	GPI1, TPI1	64	11	22680	64.43181818181819	0.9737994461765541	0.2562005674600352	0.24112994584473904
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	7	10.606060606060606	0.031025599562102657	NFIX, NFIA, NR2F1, SOX11, TAGLN3, CALR, HMGN2	60	729	18082	2.8937814357567446	0.9999999972991406	1.0	0.9984
INTERPRO	IPR003619:MAD homology 1, Dwarfin-type	2	3.0303030303030303	0.03272119422377263	NFIX, NFIA	58	12	20594	59.178160919540225	0.9989785994248541	0.8466609005401168	0.8466609005401168
GOTERM_BP_DIRECT	GO:0007417~central nervous system development	3	4.545454545454546	0.034192602860115925	VCAN, ZIC1, CNTN2	60	89	18082	10.158426966292135	0.9999999996520874	1.0	0.9984
GOTERM_BP_DIRECT	GO:0008283~cell proliferation	4	6.0606060606060606	0.03509862286800011	APC2, NASP, DDIT4, MIF	60	220	18082	5.479393939393939	0.9999999998066644	1.0	0.9984
GOTERM_MF_DIRECT	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding	4	6.0606060606060606	0.0355835806749593	NEUROD2, NFIX, ZIC1, ZIC4	58	221	17446	5.44421906693712	0.9979618043822627	1.0	1.0
SMART	SM00523:DWA	2	3.0303030303030303	0.03735057549317347	NFIX, NFIA	34	12	10425	51.10294117647059	0.8126736619205659	1.0	1.0
GOTERM_BP_DIRECT	GO:0043666~regulation of phosphoprotein phosphatase activity	2	3.0303030303030303	0.03847136564933523	VCAN, HSP90B1	60	12	18082	50.227777777777774	0.9999999999784052	1.0	0.9984
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	4	6.0606060606060606	0.038898133021436736	VCAN, BSG, CNTN2, CALR	58	229	17446	5.254028007830146	0.9988687177539137	1.0	1.0
GOTERM_CC_DIRECT	GO:0043005~neuron projection	5	7.575757575757576	0.03922872606087399	GPI1, STMN3, CNTN2, ENO1, SEPT3	61	420	19662	3.8372365339578454	0.991104688990495	0.26469112443316023	0.24001652808769616
GOTERM_BP_DIRECT	GO:0000226~microtubule cytoskeleton organization	3	4.545454545454546	0.03924550911341338	CRMP1, CNTN2, GAPDH	60	96	18082	9.417708333333334	0.999999999986957	1.0	0.9984
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	3	4.545454545454546	0.04021044753729347	WNT5A, CALR, HSP90B1	61	104	19662	9.297919293820932	0.9921155727481059	0.26469112443316023	0.24001652808769616
GOTERM_CC_DIRECT	GO:0035686~sperm fibrous sheath	2	3.0303030303030303	0.0418984383957591	LDHA, ALDOA	61	14	19662	46.04683840749415	0.9935943579503047	0.26469112443316023	0.24001652808769616
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	8	12.121212121212121	0.04235396375400251	NEUROD2, NFIX, NFIA, WNT5A, ZIC1, NR2F1, SOX11, MEIS2	60	995	18082	2.4230485762144056	0.9999999999982847	1.0	0.9984
GOTERM_CC_DIRECT	GO:0009986~cell surface	6	9.090909090909092	0.04261975732398343	NRP1, VCAN, WNT5A, CNTN2, MIF, CALR	61	629	19662	3.0746696551903883	0.9941390722182444	0.26469112443316023	0.24001652808769616
UP_SEQ_FEATURE	zinc finger region:C2H2-type 2; atypical	2	3.0303030303030303	0.043849643889553265	ZIC1, ZIC4	63	13	18012	43.985347985347985	0.9999696557547485	1.0	1.0
GOTERM_BP_DIRECT	GO:0061053~somite development	2	3.0303030303030303	0.04474022451062608	WNT5A, SOX11	60	14	18082	43.05238095238095	0.9999999999996402	1.0	0.9984
GOTERM_CC_DIRECT	GO:0045121~membrane raft	4	6.0606060606060606	0.04592880264149702	EFNB1, BSG, PGK1, GPM6B	61	262	19662	4.921036165686398	0.996104774223914	0.2709799355848324	0.24571909413200904
KEGG_PATHWAY	mmu04922:Glucagon signaling pathway	3	4.545454545454546	0.047587303469606594	LDHA, PKM, PGAM1	28	100	7691	8.240357142857142	0.9636828308075738	0.40449207949165605	0.38664684069055355
GOTERM_BP_DIRECT	GO:0001501~skeletal system development	3	4.545454545454546	0.047715800238406145	VCAN, ZIC1, SOX11	60	107	18082	8.449532710280375	0.9999999999999489	1.0	0.9984
GOTERM_MF_DIRECT	GO:0031005~filamin binding	2	3.0303030303030303	0.04792202745093376	DPYSL3, CRMP1	58	15	17446	40.10574712643678	0.999774575835909	1.0	1.0
UP_KEYWORDS	Isopeptide bond	7	10.606060606060606	0.04847797149847197	TPI1, PKM, NASP, TUBB3, BASP1, HMGN2, ALDOA	64	953	22680	2.6029643231899264	0.9972970202394987	0.38459190722121095	0.36196885385525734
UP_SEQ_FEATURE	zinc finger region:C2H2-type 1; atypical	2	3.0303030303030303	0.053696961835129134	ZIC1, ZIC4	63	16	18012	35.738095238095234	0.9999972520148208	1.0	1.0
GOTERM_BP_DIRECT	GO:0048485~sympathetic nervous system development	2	3.0303030303030303	0.05406824947393721	NRP1, SOX11	60	17	18082	35.45490196078431	0.9999999999999992	1.0	0.9984
GOTERM_BP_DIRECT	GO:0019752~carboxylic acid metabolic process	2	3.0303030303030303	0.05715764738655828	LDHA, MIF	60	18	18082	33.48518518518518	0.9999999999999999	1.0	0.9984
GOTERM_MF_DIRECT	GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	4	6.0606060606060606	0.05824380395427047	NFIA, ZIC1, SOX11, MEIS2	58	270	17446	4.456194125159642	0.999965047266735	1.0	1.0
GOTERM_MF_DIRECT	GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	2	3.0303030303030303	0.06031545514631443	DPYSL3, CRMP1	58	19	17446	31.662431941923774	0.9999760151854853	1.0	1.0
GOTERM_BP_DIRECT	GO:0006260~DNA replication	3	4.545454545454546	0.06109381391085904	NFIX, NFIA, NASP	60	123	18082	7.350406504065041	1.0	1.0	0.9984
UP_KEYWORDS	Lipoprotein	6	9.090909090909092	0.06528846826707987	MARCKSL1, BASP1, WNT5A, STMN3, CNTN2, RND2	64	780	22680	2.7259615384615388	0.9996759332423717	0.48558298273640654	0.4570192778695591
GOTERM_MF_DIRECT	GO:0031625~ubiquitin protein ligase binding	4	6.0606060606060606	0.06572077684600412	GPI1, TPI1, CKB, CALR	58	284	17446	4.236522583778533	0.9999910563632226	1.0	1.0
GOTERM_BP_DIRECT	GO:0000028~ribosomal small subunit assembly	2	3.0303030303030303	0.06636644948868912	RPS19, RPSA	60	21	18082	28.701587301587303	1.0	1.0	0.9984
GOTERM_CC_DIRECT	GO:0045202~synapse	5	7.575757575757576	0.0681154988844708	OLFM1, EFNB1, CNTN2, CNIH2, SEPT3	61	505	19662	3.191365038143158	0.9997574917778742	0.3827442318270264	0.34706468479230357
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	5	7.575757575757576	0.07106549751497325	LDHA, TPI1, PKM, PGAM1, CKB	58	479	17446	3.139802749982003	0.9999966468650668	1.0	1.0
GOTERM_BP_DIRECT	GO:0045778~positive regulation of ossification	2	3.0303030303030303	0.07245646967262741	WNT5A, SOX11	60	23	18082	26.205797101449274	1.0	1.0	0.9984
GOTERM_BP_DIRECT	GO:0006754~ATP biosynthetic process	2	3.0303030303030303	0.07245646967262741	PKM, ALDOA	60	23	18082	26.205797101449274	1.0	1.0	0.9984
GOTERM_CC_DIRECT	GO:0030529~intracellular ribonucleoprotein complex	4	6.0606060606060606	0.07422977898446025	RPS19, RPL12, RPSA, GAPDH	61	320	19662	4.029098360655738	0.999888473414047	0.383155904192734	0.34743798092052997
UP_KEYWORDS	DNA-binding	9	13.636363636363635	0.0751816274635767	NEUROD2, NFIX, NFIA, ZIC1, NR2F1, ZIC4, SOX11, HMGN2, MEIS2	64	1604	22680	1.9883884039900248	0.9999086481347801	0.5077317600974609	0.4778651859740809
BIOCARTA	m_mta3Pathway:Downregulated of MTA-3 in ER-negative Breast Tumors	2	3.0303030303030303	0.07532248290989108	ALDOA, GAPDH	6	20	1289	21.48333333333333	0.37491109700474823	0.3766124145494554	0.3766124145494554
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	10	15.151515151515152	0.07599096909012176	PRDX2, LDHA, PKM, DDAH2, PPP2R2B, BSG, DDIT4, CKB, ALDOA, GAPDH	61	1721	19662	1.8729103361560662	0.9999109172792966	0.383155904192734	0.34743798092052997
UP_KEYWORDS	Cytoskeleton	7	10.606060606060606	0.07679976203154872	APC2, PPP2R2B, TUBB3, CRMP1, GAPDH, TMSB10, SEPT3	64	1073	22680	2.3118592730661693	0.999925832605394	0.5077317600974609	0.4778651859740809
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	3	4.545454545454546	0.07857119877796608	SRRM4, RBFOX3, CALR	58	142	17446	6.354783875667799	0.9999991625384418	1.0	1.0
GOTERM_BP_DIRECT	GO:0048843~negative regulation of axon extension involved in axon guidance	2	3.0303030303030303	0.08151834739972916	NRP1, WNT5A	60	26	18082	23.18205128205128	1.0	1.0	0.9984
UP_KEYWORDS	Lectin	3	4.545454545454546	0.08355284991831895	VCAN, BSG, CALR	64	173	22680	6.145231213872832	0.9999690412386589	0.5233046915936819	0.4925220626764064
GOTERM_CC_DIRECT	GO:0016020~membrane	28	42.42424242424242	0.0838156175496256	NRP1, RPL12, SLC2A3, SOGA3, ENO1, RND2, HSP90B1, GPI1, EFNB1, TRP53I11, LDHA, CCND2, RPS19, BASP1, BSG, PGK1, GPM6B, MARCKSL1, PGAM1, ST8SIA2, RPSA, VCAN, PPP2R2B, CNTN2, CALR, ALDOA, CNIH2, GAPDH	61	6998	19662	1.2896799553970923	0.9999673426938089	0.383155904192734	0.34743798092052997
GOTERM_CC_DIRECT	GO:0015630~microtubule cytoskeleton	3	4.545454545454546	0.0839738820663205	APC2, TUBB3, GAPDH	61	158	19662	6.1201494085909935	0.9999680016877583	0.383155904192734	0.34743798092052997
GOTERM_CC_DIRECT	GO:0005790~smooth endoplasmic reticulum	2	3.0303030303030303	0.08487457055431359	CALR, HSP90B1	61	29	19662	22.229508196721312	0.9999715086129553	0.383155904192734	0.34743798092052997
KEGG_PATHWAY	mmu04310:Wnt signaling pathway	3	4.545454545454546	0.08698013444232307	APC2, CCND2, WNT5A	28	141	7691	5.844224924012158	0.9979457398596984	0.620086792326028	0.5927300220763504
GOTERM_CC_DIRECT	GO:0032281~AMPA glutamate receptor complex	2	3.0303030303030303	0.08767126621359168	OLFM1, CNIH2	61	30	19662	21.488524590163937	0.9999801454670523	0.383155904192734	0.34743798092052997
